other_id,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
acm_01,article,3194795,Emerson  Murphy-Hill and Caitlin  Sadowski and Andrew  Head and John  Daughtry and Andrew  Macvean and Ciera  Jaspan and Collin  Winter,,,,Discovering API Usability Problems at Scale,14--17,,4,,10.1145/3194793.3194795,,,,,,,2018,,Proceedings of the 2Nd International Workshop on API Usage and Evolution,WAPI '18,,978-1-4503-5754-8,"Gothenburg, Sweden",ACM,"New York, NY, USA"
acm_02,article,2897610,Kai  Mindermann,,,,Are Easily Usable Security Libraries Possible and How Should Experts Work Together to Create Them?,62--63,,2,"API, abstraction, developer knowledge",10.1145/2897586.2897610,,,,,,,2016,,Proceedings of the 9th International Workshop on Cooperative and Human Aspects of Software Engineering,CHASE '16,,978-1-4503-4155-4,"Austin, Texas",ACM,"New York, NY, USA"
acm_03,article,2579219,Hyunghun  Cho and Sukyoung  Ryu,,,,REST to JavaScript for Better Client-side Development,937--942,,6,"API design, REST API, javascript api, javascript wrapper, web IDL, web services",10.1145/2567948.2579219,,,,,,,2014,,Proceedings of the 23rd International Conference on World Wide Web,WWW '14 Companion,,978-1-4503-2745-9,"Seoul, Korea",ACM,"New York, NY, USA"
acm_04,article,3275535,Darius  Foo and Hendy  Chua and Jason  Yeo and Ming Yi  Ang and Asankhaya  Sharma,,,,Efficient Static Checking of Library Updates,791--796,,6,"api diffs, automated remediation, call graphs, library upgrades, semantic versioning",10.1145/3236024.3275535,,,,,,,2018,,Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,ESEC/FSE 2018,,978-1-4503-5573-5,"Lake Buena Vista, FL, USA",ACM,"New York, NY, USA"
acm_05,article,2491428,Mario  Linares-V&#225;squez and Gabriele  Bavota and Carlos  Bernal-C&#225;rdenas and Massimiliano  Di Penta and Rocco  Oliveto and Denys  Poshyvanyk,,,,API Change and Fault Proneness: A Threat to the Success of Android Apps,477--487,,11,"API changes, Android, Empirical Studies, Mining Software Repositories",10.1145/2491411.2491428,,,,,,,2013,,Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,ESEC/FSE 2013,,978-1-4503-2237-9,"Saint Petersburg, Russia",ACM,"New York, NY, USA"
acm_06,article,2912155,Ole  Weidner and Malcolm  Atkinson and Adam  Barker and Rosa  Filgueira Vicente,,,,"Rethinking High Performance Computing Platforms: Challenges, Opportunities and Recommendations",19--26,,8,"hpc platform apis, hpc platform models, linux containers, os-level virtualization, resource management, usability",10.1145/2912152.2912155,,,,,,,2016,,Proceedings of the ACM International Workshop on Data-Intensive Distributed Computing,DIDC '16,,978-1-4503-4352-7,"Kyoto, Japan",ACM,"New York, NY, USA"
acm_07,article,2901341,Chia-Che  Tsai and Bhushan  Jain and Nafees Ahmed Abdul and Donald E. Porter,,,,A Study of Modern Linux API Usage and Compatibility: What to Support when You'Re Supporting,16:1--16:16,16,16,,10.1145/2901318.2901341,,,,,,,2016,,Proceedings of the Eleventh European Conference on Computer Systems,EuroSys '16,,978-1-4503-4240-7,"London, United Kingdom",ACM,"New York, NY, USA"
acm_08,article,3282319,Mirko  Stocker and Olaf  Zimmermann and Uwe  Zdun and Daniel  L&#252;bke and Cesare  Pautasso,,,,Interface Quality Patterns: Communicating and Improving the Quality of Microservices APIs,10:1--10:16,10,16,,10.1145/3282308.3282319,,,,,,,2018,,Proceedings of the 23rd European Conference on Pattern Languages of Programs,EuroPLoP '18,,978-1-4503-6387-7,"Irsee, Germany",ACM,"New York, NY, USA"
acm_09,article,1937126,Vincent  Cav&#233; and Zoran  Budimli&#263; and Vivek  Sarkar,,,,Comparing the Usability of Library vs. Language Approaches to Task Parallelism,9:1--9:6,9,6,,10.1145/1937117.1937126,,,,,,,2010,,Evaluation and Usability of Programming Languages and Tools,PLATEAU '10,,978-1-4503-0547-1,"Reno, Nevada",ACM,"New York, NY, USA"
acm_10,article,2089159,Andreas  Stefik and Susanna  Siebert and Melissa  Stefik and Kim  Slattery,,,,"An Empirical Comparison of the Accuracy Rates of Novices Using the Quorum, Perl, and Randomo Programming Languages",3--8,,6,"comprehension, intuitiveness, language reductionism, programming languages",10.1145/2089155.2089159,,,,,,,2011,,Proceedings of the 3rd ACM SIGPLAN Workshop on Evaluation and Usability of Programming Languages and Tools,PLATEAU '11,,978-1-4503-1024-6,"Portland, Oregon, USA",ACM,"New York, NY, USA"
acm_11,article,,,,,,Improving API Usability,,,,,10.1145/2896587,,,,,,,2016,,,,,,,,
