type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1984734,Mattia  Fazzini and Qi  Xin and Alessandro  Orso,,,,Automated API-usage Update for Android Apps,204--215,,12,"API analysis, Mobile apps, automated update",10.1145/3293882.3330571,,,,,,,2019,,Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA 2019,,978-1-4503-6224-5,"Beijing, China",ACM,"New York, NY, USA"
article,3182518,Michael  Weiss and Solange  Sari,,,,Evolution of the Mashup Ecosystem by Copying,11:1--11:7,11,7,"copying, evolution, mashups, web 2.0, web APIs",10.1145/1944999.1945010,,,,,,,2010,,Proceedings of the 3rd and 4th International Workshop on Web APIs and Services Mashups,Mashups '09/'10,,978-1-4503-0418-4,"Ayia Napa, Cyprus",ACM,"New York, NY, USA"
article,2643010,Anna Maria Eilertsen and Anya Helene Bagge,,,,Exploring API: Client Co-evolution,10--13,,4,"API evolution, bytecode analysis, co-evolution, repository mining, software evolution",10.1145/3194793.3194799,,,,,,,2018,,Proceedings of the 2Nd International Workshop on API Usage and Evolution,WAPI '18,,978-1-4503-5754-8,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3106036,Guowei  Yang and Jeffrey  Jones and Austin  Moninger and Meiru  Che,,,,How Do Android Operating System Updates Impact Apps?,156--160,,5,"API, Android, change impact analysis, mobile operating system",10.1145/3197231.3197258,,,,,,,2018,,Proceedings of the 5th International Conference on Mobile Software Engineering and Systems,MOBILESoft '18,,978-1-4503-5712-8,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3106056,Roman  &#352;trobl and Zden&#283;k  Tron&#237;&#269;ek,,,,Migration from Deprecated API in Java,85--86,,2,"component upgrade, deprecated API, java, migration, software evolution",10.1145/2508075.2508093,,,,,,,2013,,"Proceedings of the 2013 Companion Publication for Conference on Systems, Programming, &#38; Applications: Software for Humanity",SPLASH '13,,978-1-4503-1995-9,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
article,3188738,Jan  H&#253;bl and Zden&#283;k  Tron&#237;&#269;ek,,,,On Testing the Source Compatibility in Java,87--88,,2,"API evolution, Java, software evolution, source compatibility",10.1145/2508075.2508094,,,,,,,2013,,"Proceedings of the 2013 Companion Publication for Conference on Systems, Programming, &#38; Applications: Software for Humanity",SPLASH '13,,978-1-4503-1995-9,"Indianapolis, Indiana, USA",ACM,"New York, NY, USA"
article,2881635,Zden&#283;k  Tron&#237;&#269;ek,,,,RefactoringNG: A Flexible Java Refactoring Tool,1165--1170,,6,"API evolution, Java, refactoring, software evolution",10.1145/2245276.2231959,,,,,,,2012,,Proceedings of the 27th Annual ACM Symposium on Applied Computing,SAC '12,,978-1-4503-0857-1,"Trento, Italy",ACM,"New York, NY, USA"
article,2579219,Marek  Pol&#225;k and Irena  Holubov&#225;,,,,REST API Management and Evolution Using MDA,102--109,,8,"Evolution Management, JSON, MDA, REST",10.1145/2790798.2790820,,,,,,,2008,,Proceedings of the Eighth International C* Conference on Computer Science & Software Engineering,C3S2E '15,,978-1-4503-3419-8,"Yokohama, Japan",ACM,"New York, NY, USA"
article,2950306,Mario  Linares-V&#225;squez,,,,Supporting Evolution and Maintenance of Android Apps,714--717,,4,"API changes, Android, Empirical Studies, Mining Software Repositories",10.1145/2591062.2591092,,,,,,,2014,,Companion Proceedings of the 36th International Conference on Software Engineering,ICSE Companion 2014,,978-1-4503-2768-8,"Hyderabad, India",ACM,"New York, NY, USA"
article,2990497,Dongjie  He and Lian  Li and Lei  Wang and Hengjie  Zheng and Guangwei  Li and Jingling  Xue,,,,Understanding and Detecting Evolution-induced Compatibility Issues in Android Apps,167--177,,11,"Android compatibility, Android evolution, incompatible API usage",10.1145/3238147.3238185,,,,,,,2018,,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,ASE 2018,,978-1-4503-5937-5,"Montpellier, France",ACM,"New York, NY, USA"
