Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
How do developers react to API evolution? A large-scale empirical study,Software Quality Journal,,26,1,10.1007/s11219-016-9344-4,André HoraRomain RobbesMarco Tulio ValenteNicolas AnquetilAnne EtienStéphane Ducasse,2018,http://link.springer.com/article/10.1007/s11219-016-9344-4,Article
The impact of imperfect change rules on framework API evolution identification: an empirical study,Empirical Software Engineering,,20,4,10.1007/s10664-014-9317-9,Wei WuAdrien ServeauxYann-Gaël GuéhéneucGiuliano Antoniol,2015,http://link.springer.com/article/10.1007/s10664-014-9317-9,Article
"To react, or not to react: Patterns of reaction to API deprecation",Empirical Software Engineering,,,,10.1007/s10664-019-09713-w,Anand Ashok SawantRomain RobbesAlberto Bacchelli,2019,http://link.springer.com/article/10.1007/s10664-019-09713-w,Article
An exploratory study of api changes and usages based on apache and eclipse ecosystems,Empirical Software Engineering,,21,6,10.1007/s10664-015-9411-7,Wei WuFoutse KhomhBram AdamsYann-Gaël GuéhéneucGiuliano Antoniol,2016,http://link.springer.com/article/10.1007/s10664-015-9411-7,Article
Eclipse API usage: the good and the bad,Software Quality Journal,,23,1,10.1007/s11219-013-9221-3,John BusingeAlexander SerebrenikMark G. J. van den Brand,2015,http://link.springer.com/article/10.1007/s11219-013-9221-3,Article
On the reaction to deprecation of clients of 4 + 1 popular Java APIs and the JDK,Empirical Software Engineering,,23,4,10.1007/s10664-017-9554-9,Anand Ashok SawantRomain RobbesAlberto Bacchelli,2018,http://link.springer.com/article/10.1007/s10664-017-9554-9,Article
fine-GRAPE: fine-grained APi usage extractor – an approach and dataset to investigate API usage,Empirical Software Engineering,,22,3,10.1007/s10664-016-9444-6,Anand Ashok SawantAlberto Bacchelli,2017,http://link.springer.com/article/10.1007/s10664-016-9444-6,Article
Charting the API minefield using software telemetry data,Empirical Software Engineering,,20,6,10.1007/s10664-014-9343-7,Maria KechagiaDimitris MitropoulosDiomidis Spinellis,2015,http://link.springer.com/article/10.1007/s10664-014-9343-7,Article
What should developers be aware of? An empirical study on the directives of API documentation,Empirical Software Engineering,,17,6,10.1007/s10664-011-9186-4,Martin MonperrusMichael EichbergElif TekesMira Mezini,2012,http://link.springer.com/article/10.1007/s10664-011-9186-4,Article
API trustworthiness: an ontological approach for software library adoption,Software Quality Journal,,,,10.1007/s11219-018-9428-4,Ellis E. EghanSultan S. AlqahtaniChristopher ForbesJuergen Rilling,2019,http://link.springer.com/article/10.1007/s11219-018-9428-4,Article
A field study of API learning obstacles,Empirical Software Engineering,,16,6,10.1007/s10664-010-9150-8,Martin P. RobillardRobert DeLine,2011,http://link.springer.com/article/10.1007/s10664-010-9150-8,Article
API governance support through the structural analysis of REST APIs,Computer Science - Research and Development,,33,3 - 4,10.1007/s00450-017-0384-1,Florian HauptFrank LeymannKarolina Vukojevic-Haupt,2018,http://link.springer.com/article/10.1007/s00450-017-0384-1,Article
APIReal: an API recognition and linking approach for online developer forums,Empirical Software Engineering,,23,6,10.1007/s10664-018-9608-7,Deheng YeLingfeng BaoZhenchang XingShang-Wei Lin,2018,http://link.springer.com/article/10.1007/s10664-018-9608-7,Article
Inferring specifications for resources from natural language API documentation,Automated Software Engineering,,18,3 - 4,10.1007/s10515-011-0082-3,Hao ZhongLu ZhangTao XieHong Mei,2011,http://link.springer.com/article/10.1007/s10515-011-0082-3,Article
Analyzing the co-evolution of comments and source code,Software Quality Journal,,17,4,10.1007/s11219-009-9075-x,Beat FluriMichael WürschEmanuel GigerHarald C. Gall,2009,http://link.springer.com/article/10.1007/s11219-009-9075-x,Article
Analyzing a decade of Linux system calls,Empirical Software Engineering,,23,3,10.1007/s10664-017-9551-z,Mojtaba BagherzadehNafiseh KahaniCor-Paul BezemerAhmed E. HassanJuergen DingelJames R. Cordy,2018,http://link.springer.com/article/10.1007/s10664-017-9551-z,Article
Automatic query reformulation for code search using crowdsourced knowledge,Empirical Software Engineering,,,,10.1007/s10664-018-9671-0,Mohammad M. RahmanChanchal K. RoyDavid Lo,2019,http://link.springer.com/article/10.1007/s10664-018-9671-0,Article
ChronoSphere: a graph-based EMF model repository for IT landscape models,Software & Systems Modeling,,,,10.1007/s10270-019-00725-0,Martin HaeuslerThomas TrojerJohannes KesslerMatthias FarwickEmmanuel NowakowskiRuth Breu,2019,http://link.springer.com/article/10.1007/s10270-019-00725-0,Article
Addressing the evolution of automated user behaviour patterns by runtime model interpretation,Software & Systems Modeling,,14,4,10.1007/s10270-013-0371-3,Estefanía SerralPedro ValderasVicente Pelechano,2015,http://link.springer.com/article/10.1007/s10270-013-0371-3,Article
Ahead of time static analysis for automatic generation of debugging interfaces to the Linux kernel,Automated Software Engineering,,23,1,10.1007/s10515-014-0152-4,Tegawendé F. BissyandéLaurent RéveillèreJulia L. LawallGilles Muller,2016,http://link.springer.com/article/10.1007/s10515-014-0152-4,Article
Supporting and accelerating reproducible empirical research in software evolution and maintenance using TraceLab Component Library,Empirical Software Engineering,,20,5,10.1007/s10664-014-9339-3,Bogdan DitEvan MoritzMario Linares-VásquezDenys PoshyvanykJane Cleland-Huang,2015,http://link.springer.com/article/10.1007/s10664-014-9339-3,Article
On using machine learning to automatically classify software applications into domain categories,Empirical Software Engineering,,19,3,10.1007/s10664-012-9230-z,Mario Linares-VásquezCollin McMillanDenys PoshyvanykMark Grechanik,2014,http://link.springer.com/article/10.1007/s10664-012-9230-z,Article
"Automatic, highly accurate app permission recommendation",Automated Software Engineering,,26,2,10.1007/s10515-019-00254-6,Zhongxin LiuXin XiaDavid LoJohn Grundy,2019,http://link.springer.com/article/10.1007/s10515-019-00254-6,Article
Scripted GUI testing of Android open-source apps: evolution of test code and fragility causes,Empirical Software Engineering,,,,10.1007/s10664-019-09722-9,Riccardo CoppolaMaurizio MorisioMarco TorchianoLuca Ardito,2019,http://link.springer.com/article/10.1007/s10664-019-09722-9,Article
Automatically identifying changes that impact code-to-design traceability during evolution,Software Quality Journal,,19,1,10.1007/s11219-010-9103-x,Maen HammadMichael L. CollardJonathan I. Maletic,2011,http://link.springer.com/article/10.1007/s11219-010-9103-x,Article
A multi-view context-aware approach to Android malware detection and malicious code localization,Empirical Software Engineering,,23,3,10.1007/s10664-017-9539-8,Annamalai NarayananMahinthan ChandramohanLihui ChenYang Liu,2018,http://link.springer.com/article/10.1007/s10664-017-9539-8,Article
An empirical study of DLL injection bugs in the Firefox ecosystem,Empirical Software Engineering,,,,10.1007/s10664-018-9677-7,Le AnMarco CastelluccioFoutse Khomh,2019,http://link.springer.com/article/10.1007/s10664-018-9677-7,Article
How the Apache community upgrades dependencies: an evolutionary study,Empirical Software Engineering,,20,5,10.1007/s10664-014-9325-9,Gabriele BavotaGerardo CanforaMassimiliano Di PentaRocco OlivetoSebastiano Panichella,2015,http://link.springer.com/article/10.1007/s10664-014-9325-9,Article
A framework for semi-automated software evolution analysis composition,Automated Software Engineering,,20,3,10.1007/s10515-013-0125-z,Giacomo GhezziHarald C. Gall,2013,http://link.springer.com/article/10.1007/s10515-013-0125-z,Article
