Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Empirical Study on Evolution of API Documentation","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-19811-3_29","Lin ShiHao ZhongTao XieMingshu Li","2011","http://link.springer.com/chapter/10.1007/978-3-642-19811-3_29","Chapter"
"How Do Developers React to RESTful API Evolution?","Service-Oriented Computing","","","","10.1007/978-3-662-45391-9_17","Shaohua WangIman KeivanlooYing Zou","2014","http://link.springer.com/chapter/10.1007/978-3-662-45391-9_17","Chapter"
"Study of an API Migration for Two XML APIs","Software Language Engineering","","","","10.1007/978-3-642-12107-4_5","Thiago Tonelli BartolomeiKrzysztof CzarneckiRalf LämmelTijs van der Storm","2010","http://link.springer.com/chapter/10.1007/978-3-642-12107-4_5","Chapter"
"Enriching API Descriptions by Adding API Profiles Through Semantic Annotation","Service-Oriented Computing","","","","10.1007/978-3-319-46295-0_55","Meherun Nesa LuckyMarco CremaschiBarbara LodigianiAntonio MenolascinaFlavio De Paoli","2016","http://link.springer.com/chapter/10.1007/978-3-319-46295-0_55","Chapter"
"Internet-Based Enterprise Innovation Through a Community-Based API Builder to Manage APIs","Current Trends in Web Engineering","","","","10.1007/978-3-319-24800-4_6","Romanos TsouroplisMichael PetychakisIosif AlvertisEvmorfia BiliriFenareti LampathakiDimitris Askounis","2015","http://link.springer.com/chapter/10.1007/978-3-319-24800-4_6","Chapter"
"Mining API Popularity","Testing – Practice and Research Techniques","","","","10.1007/978-3-642-15585-7_17","Yana Momchilova MilevaValentin DallmeierAndreas Zeller","2010","http://link.springer.com/chapter/10.1007/978-3-642-15585-7_17","Chapter"
"Exposing Behavioral Differences in Cross-Language API Mapping Relations","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-37057-1_10","Hao ZhongSuresh ThummalapentaTao Xie","2013","http://link.springer.com/chapter/10.1007/978-3-642-37057-1_10","Chapter"
"Consumer-Driven API Testing with Performance Contracts","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-72125-5_11","Johannes StählinSebastian LangFabian KajzarChristian Zirpins","2018","http://link.springer.com/chapter/10.1007/978-3-319-72125-5_11","Chapter"
"An Extensible, Model-Driven and End-User Centric Approach for API Building","Web Engineering","","","","10.1007/978-3-319-08245-5_35","José Matías RiveroSebastian HeilJulián GrigeraEsteban Robles LunaMartin Gaedke","2014","http://link.springer.com/chapter/10.1007/978-3-319-08245-5_35","Chapter"
"Constructing and Evaluating an Evolving Web-API Network for Service Discovery","Service-Oriented Computing","","","","10.1007/978-3-030-03596-9_44","Olayinka AdeleyeJian YuSira YongchareonYanbo Han","2018","http://link.springer.com/chapter/10.1007/978-3-030-03596-9_44","Chapter"
"Benchmarking Web API Quality","Web Engineering","","","","10.1007/978-3-319-38791-8_11","David BermbachErik Wittern","2016","http://link.springer.com/chapter/10.1007/978-3-319-38791-8_11","Chapter"
"Flow-Augmented Call Graph: A New Foundation for Taming API Complexity","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-19811-3_27","Qirun ZhangWujie ZhengMichael R. Lyu","2011","http://link.springer.com/chapter/10.1007/978-3-642-19811-3_27","Chapter"
"A Conceptual Approach to Database Applications Evolution","Conceptual Modeling – ER 2010","","","","10.1007/978-3-642-16373-9_10","Anthony CleveAnne-France BrogneauxJean-Luc Hainaut","2010","http://link.springer.com/chapter/10.1007/978-3-642-16373-9_10","Chapter"
"Towards Understanding of Structural Attributes of Web APIs Using Metrics Based on API Call Responses","Open Source Software: Mobile Open Source Technologies","","","","10.1007/978-3-642-55128-4_11","Andrea JanesTadas RemenciusAlberto SillittiGiancarlo Succi","2014","http://link.springer.com/chapter/10.1007/978-3-642-55128-4_11","Chapter"
"API Conformance Verification for Java Programs","Formal Methods and Software Engineering","","","","10.1007/978-3-642-16901-4_14","Xin LiH. James HooverPiotr Rudnicki","2010","http://link.springer.com/chapter/10.1007/978-3-642-16901-4_14","Chapter"
"A Multi-perspective Framework for Web API Search in Enterprise Mashup Design","Advanced Information Systems Engineering","","","","10.1007/978-3-642-38709-8_23","Devis BianchiniValeria De AntonellisMichele Melchiori","2013","http://link.springer.com/chapter/10.1007/978-3-642-38709-8_23","Chapter"
"Towards a Model for Resource Allocation in API Value Networks","Service-Oriented Computing - ICSOC 2014 Workshops","","","","10.1007/978-3-319-22885-3_20","James HoughtonMichael SiegelMaja Vukovic","2015","http://link.springer.com/chapter/10.1007/978-3-319-22885-3_20","Chapter"
"Stakeholder Engagement in the Evolutionary Design of an API","Agile Processes in Software Engineering and Extreme Programming","","","","10.1007/978-3-642-13054-0_36","Ken Power","2010","http://link.springer.com/chapter/10.1007/978-3-642-13054-0_36","Chapter"
"A Graph API for Complex Business Network Query and Traversal","Information Systems, Technology and Management","","","","10.1007/978-3-642-29166-1_5","Daniel RitterChristoph Herrmann","2012","http://link.springer.com/chapter/10.1007/978-3-642-29166-1_5","Chapter"
"OWL API for iOS: Early Implementation and Results","OWL: Experiences and Directions – Reasoner Evaluation","","","","10.1007/978-3-319-54627-8_11","Michele RutaFloriano SciosciaEugenio Di SciascioIvano Bilenchi","2017","http://link.springer.com/chapter/10.1007/978-3-319-54627-8_11","Chapter"
"API-Constrained Genetic Improvement","Search Based Software Engineering","","","","10.1007/978-3-319-47106-8_16","William B. LangdonDavid R. WhiteMark HarmanYue JiaJustyna Petke","2016","http://link.springer.com/chapter/10.1007/978-3-319-47106-8_16","Chapter"
"Merging Intelligent API Responses Using a Proportional Representation Approach","Web Engineering","","","","10.1007/978-3-030-19274-7_28","Tomohiro OhtakeAlex CummaudoMohamed AbdelrazekRajesh VasaJohn Grundy","2019","http://link.springer.com/chapter/10.1007/978-3-030-19274-7_28","Chapter"
"Formal API Specification of the PikeOS Separation Kernel","NASA Formal Methods","","","","10.1007/978-3-319-17524-9_26","Freek VerbeekOto HavleJulien SchmaltzSergey TverdyshevHolger BlasumBruno LangensteinWerner StephanBurkhart WolffYakoub Nemouchi","2015","http://link.springer.com/chapter/10.1007/978-3-319-17524-9_26","Chapter"
"Mining Evolution of Object Usage","ECOOP 2011 – Object-Oriented Programming","","","","10.1007/978-3-642-22655-7_6","Yana Momchilova MilevaAndrzej WasylkowskiAndreas Zeller","2011","http://link.springer.com/chapter/10.1007/978-3-642-22655-7_6","Chapter"
"Optimising Schema Evolution Operation Sequences in Object Databases for Data Evolution","Conceptual Modeling","","","","10.1007/978-3-642-34002-4_29","Tilmann ZäschkeStefania LeoneMoira C. Norrie","2012","http://link.springer.com/chapter/10.1007/978-3-642-34002-4_29","Chapter"
"Supporting Runtime System Evolution to Adapt to User Behaviour","Advanced Information Systems Engineering","","","","10.1007/978-3-642-13094-6_30","Estefanía SerralPedro ValderasVicente Pelechano","2010","http://link.springer.com/chapter/10.1007/978-3-642-13094-6_30","Chapter"
"Revisiting Schema Evolution in Object Databases in Support of Agile Development","Objects and Databases","","","","10.1007/978-3-642-16092-9_5","Tilmann ZäschkeMoira C. Norrie","2010","http://link.springer.com/chapter/10.1007/978-3-642-16092-9_5","Chapter"
"Language Evolution in Practice: The History of GMF","Software Language Engineering","","","","10.1007/978-3-642-12107-4_3","Markus HerrmannsdoerferDaniel RatiuGuido Wachsmuth","2010","http://link.springer.com/chapter/10.1007/978-3-642-12107-4_3","Chapter"
"An Analysis of RESTful APIs Offerings in the Industry","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_43","Antonio Gamez-DiazPablo FernandezAntonio Ruiz-Cortes","2017","http://link.springer.com/chapter/10.1007/978-3-319-69035-3_43","Chapter"
"A Practical Approach to Services Composition Through Light Semantic Descriptions","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-99819-0_10","Marco CremaschiFlavio De Paoli","2018","http://link.springer.com/chapter/10.1007/978-3-319-99819-0_10","Chapter"
"Automatically Identifying Sufficient Object Builders from Module APIs","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-030-16722-6_25","Pablo PonzioValeria S. BengoleaMariano PolitanoNazareno AguirreMarcelo F. Frias","2019","http://link.springer.com/chapter/10.1007/978-3-030-16722-6_25","Chapter"
