PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Onwuzurike, Lucky; Mariconti, Enrico; Andriotis, Panagiotis; De Cristofaro, Emiliano; Ross, Gordon; Stringhini, Gianluca								MaMaDroid: Detecting Android Malware by Building Markov Chains of Behavioral Models (Extended Version)								ACM TRANSACTIONS ON PRIVACY AND SECURITY				22	2					14	10.1145/3313391					APR 2019	2019										1	0	0	0	0	1			2471-2566	2471-2574		WOS:000468051200007		
J	Sahin, Cagri; Pollock, Lori; Clause, James								Supporting software evolution through feedback on executing/skipping energy tests for proposed source code changes								JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS				31	4					e2155	10.1002/smr.2155					APR 2019	2019										0	0	0	0	0	0			2047-7473	2047-7481		WOS:000467957000002		
J	Garcia-Dominguez, Antonio; Barmpis, Konstantinos; Kolovos, Dimitrios S.; Wei, Ran; Paige, Richard F.					Wei, Ran/0000-0003-2191-1359			Stress-testing remote model querying APIs for relational and graph-based stores								SOFTWARE AND SYSTEMS MODELING				18	2			1047	1075		10.1007/s10270-017-0606-9					APR 2019	2019						12th European Conference on Modelling Foundations and Applications (ECMFA) / 9th International Conference on Theory and Practice of Model Transformations (ICMT) Held as Part of Software Technologies - Applications and Foundations (STAF) Conference12th European Conference on Modelling Foundations and Applications (ECMFA) / 9th International Conference on Theory and Practice of Model Transformations (ICMT) Held as Part of Software Technologies - Applications and Foundations (STAF) Conference	JUL 04-07, 2016JUL 04-07, 2016		TU Wien, Vienna, AUSTRIATU Wien, Vienna, AUSTRIA	1	0	0	0	0	1			1619-1366	1619-1374		WOS:000464022400014		
J	Lenhard, Jorg; Blom, Martin; Herold, Sebastian					Lenhard, Jorg/0000-0002-0107-2108			Exploring the suitability of source code metrics for indicating architectural inconsistencies								SOFTWARE QUALITY JOURNAL				27	1			241	274		10.1007/s11219-018-9404-z					MAR 2019	2019										0	0	0	0	0	0			0963-9314	1573-1367		WOS:000462236000007		
J	Nadal, Sergi; Romero, Oscar; Abello, Alberto; Vassiliadis, Panos; Vansummeren, Stijn					Vassiliadis, Panos/0000-0003-0085-6776; Romero, Oscar/0000-0001-6350-8328			An integration-oriented ontology to govern evolution in Big Data ecosystems								INFORMATION SYSTEMS				79		SI		3	19		10.1016/j.is.2018.01.006					JAN 2019	2019						19th International Workshop On Design, Optimization, Languages and Analytical Processing of Big Data (DOLAP)19th International Workshop On Design, Optimization, Languages and Analytical Processing of Big Data (DOLAP)	MAR 21-24, 2017MAR 21-24, 2017		Venice, ITALYVenice, ITALY	2	0	0	0	0	2			0306-4379	1873-6076		WOS:000451653600002		
J	Sun, Xiaobing; Xu, Congying; Li, Bin; Duan, Yucong; Lu, Xintong					Duan, Yucong/0000-0001-8417-892X; Sun, Xiaobing/0000-0001-5165-5080			Enabling Feature Location for API Method Recommendation and Usage Location								IEEE ACCESS				7				49872	49881		10.1109/ACCESS.2019.2910732					2019	2019										0	0	0	0	0	0			2169-3536			WOS:000467015400001		
J	Mercaldo, Francesco; Di Sorbo, Andrea; Visaggio, Corrado Aaron; Cimitile, Aniello; Martinelli, Fabio					Di Sorbo, Andrea/0000-0002-3192-739X			An exploratory study on the evolution of Android malware quality								JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS				30	11					e1978	10.1002/smr.1978					NOV 2018	2018										0	0	0	0	0	0			2047-7473	2047-7481		WOS:000450237000009		
J	de Supinski, Bronis R.; Scogland, Thomas R. W.; Duran, Alejandro; Klemm, Michael; Bellido, Sergi Mateo; Olivier, Stephen L.; Terboven, Christian; Mattson, Timothy G.					Scogland, Thomas/0000-0001-7234-5743; Olivier, Stephen/0000-0001-6247-8980; Terboven, Christian/0000-0003-2284-2957; Mateo, Sergi/0000-0002-2169-2240; Klemm, Michael/0000-0002-8634-4634			The Ongoing Evolution of OpenMP								PROCEEDINGS OF THE IEEE				106	11	SI		2004	2019		10.1109/JPROC.2018.2853600					NOV 2018	2018										0	0	0	0	0	0			0018-9219	1558-2256		WOS:000448616200010		
J	Xu, Congying; Sun, Xiaobing; Li, Bin; Lu, Xintong; Guo, Hongjing				Sun, Xiaobing/L-7423-2019	Sun, Xiaobing/0000-0001-5165-5080			MULAPI: Improving API method recommendation with API usage location								JOURNAL OF SYSTEMS AND SOFTWARE				142				195	205		10.1016/j.jss.2018.04.060					AUG 2018	2018										3	0	0	0	0	3			0164-1212	1873-1228		WOS:000437037200011		
J	Teixeira, Andreia Sofia; Monteiro, Pedro T.; Carrico, Joao A.; Santos, Francisco C.; Francisco, Alexandre P.				Carrico, Joao Andre/A-7367-2008; Francisco, Alexandre/B-9429-2009	Carrico, Joao Andre/0000-0002-5274-2722; Francisco, Alexandre/0000-0003-4852-1641; Teixeira, Andreia Sofia/0000-0002-2758-1891			Large-Scale Simulations of Bacterial Populations Over Complex Networks								JOURNAL OF COMPUTATIONAL BIOLOGY				25	8			850	861		10.1089/cmb.2018.0083		JULY	2018		AUG 2018	2018										1	0	0	1	0	1			1066-5277	1557-8666		WOS:000438169800001	29985650	
J	Lv, Chen; Jiang, Wei; Hu, Songlin; Wang, Jiye; Lu, Guoliang; Liu, Zhiyong								Efficient Dynamic Evolution of Service Composition								IEEE TRANSACTIONS ON SERVICES COMPUTING				11	4			630	643		10.1109/TSC.2015.2466544					JUL-AUG 2018	2018										0	0	0	0	0	0			1939-1374			WOS:000440871700004		
J	Bagherzadeh, Mojtaba; Kahani, Nafiseh; Bezemer, Cor-Paul; Hassan, Ahmed E.; Dingel, Juergen; Cordy, James R.					BAGHERZADEH, MOJTABA/0000-0002-0253-671X; Bezemer, Cor-Paul/0000-0002-0474-5718			Analyzing a decade of Linux system calls								EMPIRICAL SOFTWARE ENGINEERING				23	3			1519	1551		10.1007/s10664-017-9551-z					JUN 2018	2018										1	0	0	0	0	1			1382-3256	1573-7616		WOS:000433532300011		
J	Yu, Ping; Yang, Fei; Cao, Chun; Hu, Hao; Ma, Xiaoxing								Mining API usage change rules for software framework evolution								SCIENCE CHINA-INFORMATION SCIENCES				61	5					050108	10.1007/s11432-017-9416-1					MAY 2018	2018										0	0	0	0	0	0			1674-733X	1869-1919		WOS:000433399000008		
J	Spielman, Stephanie J.; Pond, Sergei L. Kosakovsky					Spielman, Stephanie/0000-0002-9090-4788			Relative Evolutionary Rates in Proteins Are Largely Insensitive to the Substitution Model								MOLECULAR BIOLOGY AND EVOLUTION				35	9			2307	2317		10.1093/molbev/msy127					SEP 2018	2018										29	0	0	25	0	29			0737-4038	1537-1719		WOS:000452565900018	29301006	
J	Vidal, Ivan; Garcia-Reinoso, Jaime; Soto, Ignacio; Valera, Francisco; Lopez, Diego				Soto, Ignacio/E-9850-2016	Soto, Ignacio/0000-0002-7421-3733			SCoT: A secure content-oriented transport								JOURNAL OF NETWORK AND COMPUTER APPLICATIONS				105				63	78		10.1016/j.jnca.2018.01.001					MAR 1 2018	2018										0	0	0	0	0	0			1084-8045			WOS:000427214200003		
J	Hora, Andre; Robbes, Romain; Valente, Marco Tulio; Anquetil, Nicolas; Etien, Anne; Ducasse, Stephane					Etien, Anne/0000-0003-3034-873X; Anquetil, Nicolas/0000-0003-1486-8399			How do developers react to API evolution? A large-scale empirical study								SOFTWARE QUALITY JOURNAL				26	1			161	191		10.1007/s11219-016-9344-4					MAR 2018	2018										2	0	0	0	0	2			0963-9314	1573-1367		WOS:000425779200006		
J	Brito, Gleison; Hora, Andre; Valente, Marco Tulio; Robbes, Romain								On the use of replacement messages in API deprecation: An empirical study								JOURNAL OF SYSTEMS AND SOFTWARE				137				306	321		10.1016/j.jss.2017.12.007					MAR 2018	2018										3	0	0	0	0	3			0164-1212	1873-1228		WOS:000425572400019		
J	Antonakaki, Despoina; Ioannidis, Sotiris; Fragopoulou, Paraskevi								Utilizing the average node degree to assess the temporal growth rate of Twitter								SOCIAL NETWORK ANALYSIS AND MINING				8	1					12	10.1007/s13278-018-0490-5					FEB 16 2018	2018										1	0	0	0	0	1			1869-5450	1869-5469		WOS:000425392200001		
J	Mitike Kassa, Yonas; Cuevas, Ruben; Cuevas, Angel								A Large-Scale Analysis of Facebook's User-Base and User Engagement Growth								IEEE ACCESS				6				78881	78891		10.1109/ACCESS.2018.2885458					2018	2018										0	0	0	0	0	0			2169-3536			WOS:000454791900001		
S	Alberti-Villalobos, Pedro; Molina-Adasme, Sebastian; Maldonado-Cardenas, Patricia			AIP					High Performance Implementation of Wolf's Method								INTERNATIONAL CONFERENCE OF NUMERICAL ANALYSIS AND APPLIED MATHEMATICS (ICNAAM 2017)		AIP Conference Proceedings		1978						UNSP 470047-1	10.1063/1.5044117					2018	2018						International Conference of Numerical Analysis and Applied Mathematics (ICNAAM)International Conference of Numerical Analysis and Applied Mathematics (ICNAAM)	SEP 25-30, 2017SEP 25-30, 2017		Thessaloniki, GREECEThessaloniki, GREECE	0	0	0	0	0	0			0094-243X		978-0-7354-1690-1	WOS:000445105400429		
S	Bierwirth, T.; Amarandei, B.; Beccari, G.; Brillant, S.; Dumitru, B.; Mieske, S.; Pasquato, M.; Pruemm, M.; Rejkuba, M.; Santos, P.; Tacconi-Garman, L. E.; Vera, I.					Rejkuba, Marina/0000-0002-6577-2787; Beccari, Giacomo/0000-0002-3865-9906	Peck, AB; Seaman, RL; Benn, CR		Flexible and dynamic observing at the ESO Very Large Telescope								OBSERVATORY OPERATIONS: STRATEGIES, PROCESSES, AND SYSTEMS VII		Proceedings of SPIE		10704						UNSP 107041K	10.1117/12.2313167					2018	2018						Conference on Observatory Operations - Strategies, Processes, and Systems VIIConference on Observatory Operations - Strategies, Processes, and Systems VII	JUN 11-15, 2018JUN 11-15, 2018	SPIE; 4D Technol; Andor Technol Ltd; Astron Consultants & Equipment, Inc; Giant Magellan Telescope; GPixel, Inc; Harris Corp; Mater Corp; Optimax Syst, Inc; Princeton Infrared Technologies; Symetrie; Teledyne Technologies Inc; Thirty Meter TelescopeSPIE; 4D Technol; Andor Technol Ltd; Astron Consultants & Equipment, Inc; Giant Magellan Telescope; GPixel, Inc; Harris Corp; Mater Corp; Optimax Syst, Inc; Princeton Infrared Technologies; Symetrie; Teledyne Technologies Inc; Thirty Meter Telescope	Austin, TXAustin, TX	0	0	0	0	0	0			0277-786X	1996-756X	978-1-5106-1962-3	WOS:000452635900051		
J	Kula, Raula Gaikovina; Ouni, Ali; German, Daniel M.; Inoue, Katsuro					Ouni, Ali/0000-0003-4708-0362			An empirical study on the impact of refactoring activities on evolving client-used APIs								INFORMATION AND SOFTWARE TECHNOLOGY				93				186	199		10.1016/j.infsof.2017.09.007					JAN 2018	2018										1	0	0	0	0	1			0950-5849	1873-6025		WOS:000414878200012		
J	Arteaga, Jaime; Zuckerman, Stephane; Gao, Guang R.				Arteaga, Jaime Munoz/H-9215-2019	Arteaga, Jaime Munoz/0000-0002-3635-7592			Generating Fine-Grain Multithreaded Applications Using a Multigrain Approach								ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION				14	4					47	10.1145/3155288					DEC 2017	2017										0	0	0	0	0	0			1544-3566	1544-3973		WOS:000423277300016		
J	Bakhtiari, R.; Zangeneh, S.; Fotouh, M. Bakhtiari; Jamshidi, S. M.; Shafeie, A.								Fitness for service assessment of a pressure vessel subjected to fire damage in a refinery unit								ENGINEERING FAILURE ANALYSIS				80				444	452		10.1016/j.engfailanal.2017.07.020					OCT 2017	2017										0	0	0	0	0	0			1350-6307	1873-1961		WOS:000407182600036		
J	Casey, Eoghan; Barnum, Sean; Griffith, Ryan; Snyder, Jonathan; van Beek, Harm; Nelson, Alex					Casey, Eoghan/0000-0001-7219-317X			Advancing coordinated cyber-investigations and tool interoperability using a community developed specification language								DIGITAL INVESTIGATION				22				14	45		10.1016/j.diin.2017.08.002					SEP 2017	2017										7	0	0	0	0	7			1742-2876	1873-202X		WOS:000412376200003		
J	Jezek, Kamil; Dietrich, Jens								API Evolution and Compatibility: A Data Corpus and Tool Evaluation								JOURNAL OF OBJECT TECHNOLOGY				16	4						10.5381/jot.2017.16.3.a2					AUG 2017	2017										1	0	0	0	0	1			1660-1769			WOS:000418354200002		
J	Bertelli, Claire; Laird, Matthew R.; Williams, Kelly P.; Lau, Britney Y.; Hoad, Gemma; Winsor, Geoffrey L.; Brinkman, Fiona S. L.		Simon Fraser Univ Res Comp Grp		Bertelli, Claire/H-9609-2015	Bertelli, Claire/0000-0003-0550-8981; Winsor, Geoffrey/0000-0001-6848-1638; Laird, Matthew/0000-0003-0967-3175			IslandViewer 4: expanded prediction of genomic islands for larger-scale datasets								NUCLEIC ACIDS RESEARCH				45	W1			W30	W35		10.1093/nar/gkx343					JUL 3 2017	2017										104	2	0	96	1	106			0305-1048	1362-4962		WOS:000404427000006	28472413	
J	Raemaekers, S.; van Deursen, A.; Visser, J.				van Deursen, Arie/G-3084-2011	van Deursen, Arie/0000-0003-4850-3312			Semantic versioning and impact of breaking changes in the Maven repository								JOURNAL OF SYSTEMS AND SOFTWARE				129				140	158		10.1016/j.jss.2016.04.008					JUL 2017	2017										2	0	0	0	0	2			0164-1212	1873-1228		WOS:000403028700009		
J	Sawant, Anand Ashok; Bacchelli, Alberto					Sawant, Anand/0000-0002-5816-8020			fine-GRAPE: fine-grained APi usage extractor - an approach and dataset to investigate API usage								EMPIRICAL SOFTWARE ENGINEERING				22	3			1348	1371		10.1007/s10664-016-9444-6					JUN 2017	2017										10	0	0	0	0	10			1382-3256	1573-7616		WOS:000402459200013		
J	Hematian, Amirshahram; Yu, Wei; Lu, Chao; Griffith, David; Golmie, Nada								Towards Clustering-Based Device-to-Device Communications for Supporting Applications								APPLIED COMPUTING REVIEW				17	1			35	48		10.1145/3090058.3090063					MAR 2017	2017										2	0	0	0	0	2			1559-6915			WOS:000398847800004		
J	Lacy-Jones, Kristin; Hayward, Philip; Andrews, Steve; Gledhill, Ian; McAllister, Mark; Abrahamsson, Bertil; Rostami-Hodjegan, Amin; Pepin, Xavier								Biopharmaceutics data management system for anonymised data sharing and curation: First application with orbito IMI project								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				140				29	44		10.1016/j.cmpb.2016.11.006					MAR 2017	2017										2	0	0	1	0	2			0169-2607	1872-7565		WOS:000397074300005	28254086	
